stm32_time_ms;d6t_temp_c;ds18b20_temp_c;motor_ud_v;motor_uq_v;motor_speed_mech_rpm;motor_id_a;motor_iq_a
54747;24.8;26.31;0.000;0.000;0.000;0.000;0.000
54847;24.8;26.25;0.000;0.000;0.000;0.000;0.000
54947;24.8;26.25;0.000;0.000;0.000;0.000;0.000
55047;24.7;26.25;0.000;0.000;0.000;0.000;0.000
55147;24.7;26.25;0.000;0.000;0.000;0.000;0.000
55247;24.7;26.25;0.000;0.000;0.000;0.000;0.000
55347;24.7;26.25;0.000;0.000;0.000;0.000;0.000
55447;24.7;26.25;0.000;0.000;0.000;0.000;0.000
55547;24.7;26.25;0.000;0.000;0.000;0.000;0.000
55647;24.7;26.25;0.000;0.000;0.000;0.000;0.000
55747;24.7;26.25;0.000;0.000;0.000;0.000;0.000
55847;24.8;26.25;0.000;0.000;0.000;0.000;0.000
55947;24.8;26.25;0.000;0.000;0.000;0.000;0.000
56047;24.7;26.25;0.000;0.000;0.000;0.000;0.000
56147;24.7;26.25;0.000;0.000;0.000;0.000;0.000
56247;24.7;26.25;0.000;0.000;0.000;0.000;0.000
56347;24.8;26.25;0.000;0.000;0.000;0.000;0.000
56447;24.8;26.25;0.000;0.000;0.000;0.000;0.000
56547;24.8;26.25;0.000;0.000;0.000;0.000;0.000
56647;24.8;26.25;0.000;0.000;0.000;0.000;0.000
56747;24.8;26.25;0.000;0.000;0.000;0.000;0.000
56847;24.8;26.25;0.000;0.000;0.000;0.000;0.000
56947;24.8;26.25;0.000;0.000;0.000;0.000;0.000
57047;24.9;26.25;0.000;0.000;0.000;0.000;0.000
57147;24.9;26.25;0.000;0.000;0.000;0.000;0.000
57247;24.9;26.25;0.000;0.000;0.000;0.000;0.000
57347;24.8;26.25;0.000;0.000;0.000;0.000;0.000
57447;24.8;26.25;0.000;0.000;0.000;0.000;0.000
57547;24.8;26.25;0.000;0.000;0.000;0.000;0.000
57647;24.8;26.25;0.000;0.000;0.000;0.000;0.000
57747;24.8;26.25;0.000;0.000;0.000;0.000;0.000
57847;24.8;26.25;0.000;0.000;0.000;0.000;0.000
57947;24.8;26.25;0.000;0.000;0.000;0.000;0.000
58047;24.8;26.25;0.000;0.000;0.000;0.000;0.000
58147;24.8;26.25;0.000;0.000;0.000;0.000;0.000
58247;24.8;26.25;0.000;0.000;0.000;0.000;0.000
58347;24.8;26.25;0.000;0.000;0.000;0.000;0.000
58447;24.8;26.25;0.000;0.000;0.000;0.000;0.000
58547;24.9;26.25;0.000;0.000;0.000;0.000;0.000
58647;24.9;26.25;0.000;0.000;0.000;0.000;0.000
58747;24.9;26.25;0.000;0.000;0.000;0.000;0.000
58847;24.9;26.25;0.000;0.000;0.000;0.000;0.000
58947;24.9;26.25;0.000;0.000;0.000;0.000;0.000
59047;24.9;26.25;0.000;0.000;0.000;0.000;0.000
59147;24.9;26.25;0.000;0.000;0.000;0.000;0.000
59247;24.9;26.25;0.000;0.000;0.000;0.000;0.000
59347;24.9;26.25;0.000;0.000;0.000;0.000;0.000
59447;24.9;26.25;0.000;0.000;0.000;0.000;0.000
59547;24.9;26.25;0.000;0.000;0.000;0.000;0.000
59647;24.9;26.25;0.000;0.000;0.000;0.000;0.000
59747;24.9;26.25;0.000;0.000;0.000;0.000;0.000
59847;24.9;26.25;0.000;0.000;0.000;0.000;0.000
59947;24.9;26.25;0.000;0.000;0.000;0.000;0.000
60047;24.9;26.25;0.000;0.000;0.000;0.000;0.000
60147;24.9;26.25;0.000;0.000;0.000;0.000;0.000
60247;24.9;26.25;0.000;0.000;0.000;0.000;0.000
60347;24.8;26.25;0.000;0.000;0.000;0.000;0.000
60447;24.8;26.25;0.000;0.000;0.000;0.000;0.000
60547;24.9;26.25;0.000;0.000;0.000;0.000;0.000
60647;24.9;26.25;0.000;0.000;0.000;0.000;0.000
60747;24.9;26.25;0.000;0.000;0.000;0.000;0.000
60847;24.9;26.25;0.000;0.000;0.000;0.000;0.000
60947;24.9;26.25;0.000;0.000;0.000;0.000;0.000
61047;24.8;26.25;0.000;0.000;0.000;0.000;0.000
61147;24.8;26.25;0.000;0.000;0.000;0.000;0.000
61247;24.8;26.25;0.000;0.000;0.000;0.000;0.000
61347;24.8;26.25;0.000;0.000;0.000;0.000;0.000
61447;24.8;26.25;0.000;0.000;0.000;0.000;0.000
61547;24.9;26.25;0.000;0.000;0.000;0.000;0.000
61647;24.9;26.25;0.000;0.000;0.000;0.000;0.000
61747;24.9;26.25;0.000;0.000;0.000;0.000;0.000
61847;24.8;26.25;0.000;0.000;0.000;0.000;0.000
61947;24.8;26.25;0.000;0.000;0.000;0.000;0.000
62047;24.8;26.25;0.000;0.000;0.000;0.000;0.000
62147;24.8;26.25;0.000;0.000;0.000;0.000;0.000
62247;24.8;26.25;0.000;0.000;0.000;0.000;0.000
62347;24.8;26.25;0.000;0.000;0.000;0.000;0.000
62447;24.8;26.25;0.000;0.000;0.000;0.000;0.000
62547;24.9;26.25;0.000;0.000;0.000;0.000;0.000
